average_uptime,average_downtime,machine,e,ct,product
0 days 00:41:54.666666666,0 days 00:00:00.000000000,#130,1,0 days 00:00:16.000000000,341
0 days 00:41:44.333333333,0 days 00:00:00.000000000,#110,1,0 days 00:00:16.000000000,340
0 days 00:41:55.333333333,0 days 00:00:00.000000000,#150,1,0 days 00:00:29.000000000,342
0 days 01:23:05.500000000,0 days 00:00:09.000000000,#170,0.998198018,0 days 00:00:11.000000000,261
0 days 00:41:58.333333333,0 days 00:00:00.000000000,#100,1,0 days 00:00:17.000000000,339
0 days 00:42:07.666666666,0 days 00:00:00.000000000,#80,1,0 days 00:00:11.000000000,336
0 days 00:42:01.000000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:26.000000000,173
0 days 00:42:06.000000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:17.000000000,338
0 days 00:41:51.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:35.000000000,171
0 days 00:41:11.333333333,0 days 00:00:00.000000000,#160,1,0 days 00:00:11.000000000,341
